Date,Open,High,Low,Close,Volume
2021-04-05,317.46,322.03,317.21,321.26,42172500
2021-04-06,320.95,322.99,320.26,321.04,33537200
2021-04-07,320.56,322.65,319.63,321.81,32046400
2021-04-08,324.67,325.36,323.87,325.17,29940800
2021-04-09,323.81,327.35,323.08,327.14,36664900
2021-04-12,326.1,327.13,324.83,326.71,25833000
2021-04-13,328.24,330.99,328.02,330.53,30374000
2021-04-14,330.77,330.9,325.74,326.56,42564300
2021-04-15,329.43,331.9,326.28,331.51,36342800
2021-04-16,332.03,332.11,330.02,331.9,40860100
2021-04-19,330.32,331.48,326.94,328.86,34533100
2021-04-20,328.2,329.48,324.49,326.46,38081800
2021-04-21,325.18,329.44,324.09,329.26,36598100
2021-04-22,328.87,329.85,324.13,325.29,45936100
2021-04-23,325.92,330.69,325.92,329.38,36381900
2021-04-26,329.63,331.81,328.88,331.53,30812000
2021-04-27,331.82,332.03,329.14,330.09,33187200
2021-04-28,329.76,330.77,328.33,328.98,33615700
2021-04-29,332.25,332.66,326.94,330.16,37708900
2021-04-30,327.71,330.2,327.08,328.0,38263400
2021-05-03,329.2,329.95,325.8,326.25,29729700
2021-05-04,323.7,324.02,316.56,320.38,65147000
2021-05-05,322.43,323.29,318.52,319.3,46219300
2021-05-06,319.04,321.86,316.8,321.71,46814300
2021-05-07,324.48,326.7,321.88,324.32,53324500
2021-05-10,322.94,323.11,315.92,316.13,60700500
2021-05-11,310.25,316.49,309.59,315.69,71963600
2021-05-12,310.76,313.08,306.66,307.52,91164900
2021-05-13,310.46,312.87,307.53,309.9,69877800
2021-05-14,313.06,317.65,312.56,316.74,44370000
2021-05-17,315.03,316.72,311.94,314.82,39395000
2021-05-18,315.77,316.99,312.42,312.69,36528500
2021-05-19,307.3,313.35,306.95,313.05,66319100
2021-05-20,314.54,319.96,314.31,319.11,46466100
2021-05-21,320.66,321.08,316.98,317.34,50330400
2021-05-24,319.63,323.8,317.23,322.68,32475800
2021-05-25,324.19,324.91,321.95,323.12,31280300
2021-05-26,323.79,324.72,323.1,324.25,25444900
2021-05-27,323.8,324.65,322.83,323.04,27931700
2021-05-28,324.24,325.65,323.74,324.06,29927400
2021-06-01,325.39,325.86,321.63,322.98,31145400
2021-06-02,323.4,324.45,321.89,323.61,22047900
2021-06-03,320.78,322.05,318.57,320.24,37057800
2021-06-04,322.04,326.12,321.97,325.68,38736500
2021-06-07,325.14,326.7,324.45,326.65,32611900
2021-06-08,328.39,329.26,325.12,326.8,27282800
2021-06-09,328.17,328.95,326.7,326.88,21485300
2021-06-10,327.22,330.39,326.77,330.29,33702100
2021-06-11,330.3,331.16,329.65,331.15,21222800
2021-06-14,331.58,334.33,330.39,334.32,27827700
2021-06-15,333.97,334.28,331.42,332.14,35963800
2021-06-16,332.61,333.67,327.47,330.93,55399500
2021-06-17,329.92,336.14,329.87,335.13,59722700
2021-06-18,333.47,334.61,331.75,332.5,55414900
2021-06-21,332.69,334.89,330.47,334.56,32992600
2021-06-22,334.36,338.13,334.06,337.68,28941600
2021-06-23,337.63,339.0,337.01,337.85,27188500
2021-06-24,339.78,341.46,339.24,339.94,32581600
2021-06-25,340.5,340.74,338.92,339.52,28682800
2021-06-28,340.8,343.79,340.74,343.65,39130300
2021-06-29,343.47,344.92,342.64,344.89,29426000
2021-06-30,344.74,345.13,343.77,344.35,32724000
2021-07-01,344.0,344.99,342.65,344.48,29290000
2021-07-02,346.38,348.76,346.15,348.44,32727200
2021-07-06,349.04,350.23,346.35,349.94,38842400
2021-07-07,352.14,352.44,348.73,350.68,35265200
2021-07-08,345.62,349.42,344.34,348.57,50890000
2021-07-09,347.98,351.22,347.4,350.74,35184500
2021-07-12,352.14,352.57,350.57,352.11,25717700
2021-07-13,351.73,355.07,351.26,352.11,39723000
2021-07-14,354.45,355.09,351.92,352.74,35336400
2021-07-15,352.66,352.86,348.26,350.27,53391600
2021-07-16,351.12,352.1,347.08,347.43,47262000
2021-07-19,343.98,345.08,342.03,344.58,64404600
2021-07-20,345.51,350.03,343.74,348.58,42183700
2021-07-21,348.16,351.28,347.93,351.28,30259900
2021-07-22,351.48,353.61,351.48,353.6,30252200
2021-07-23,354.92,358.01,353.57,357.73,31960800
2021-07-26,357.04,358.4,356.17,358.01,28438100
2021-07-27,357.75,357.75,349.92,354.06,57933100
2021-07-28,355.2,357.0,352.91,355.42,42066200
2021-07-29,354.86,357.22,354.86,356.06,25672500
2021-07-30,352.13,354.78,352.1,354.2,36484600
2021-08-02,355.86,356.44,353.52,354.23,27334100
2021-08-03,354.89,356.49,351.7,356.38,35558500
2021-08-04,356.34,357.84,355.23,356.89,29602200
2021-08-05,357.71,359.39,357.0,359.16,21443900
2021-08-06,357.89,358.86,356.47,357.58,33332100
2021-08-09,358.04,358.77,356.94,358.24,25960200
2021-08-10,358.76,359.05,355.22,356.41,35130800
2021-08-11,357.67,358.16,354.46,355.79,34249800
2021-08-12,355.29,357.44,353.94,357.08,25969200
2021-08-13,357.43,358.66,356.93,358.33,19336200
2021-08-16,357.21,358.52,353.35,358.48,34856900
2021-08-17,355.74,356.71,352.9,355.33,44793900
2021-08-18,354.79,356.19,351.58,351.91,38541900
2021-08-19,349.97,355.28,349.72,353.61,48499400
2021-08-20,354.68,357.67,354.37,357.27,39486000
2021-08-23,358.31,363.3,358.3,362.61,34034700
2021-08-24,363.21,364.32,362.74,363.72,21732900
2021-08-25,363.97,364.71,363.23,364.14,20441900
2021-08-26,363.28,363.96,361.39,361.83,29133300
2021-08-27,362.46,365.85,361.97,365.34,27104700
2021-08-30,366.13,369.93,366.11,369.44,27295700
2021-08-31,369.69,369.75,367.6,369.14,29628200
2021-09-01,370.2,371.82,369.55,369.75,28138300
2021-09-02,371.11,371.44,368.37,369.58,25453400
2021-09-03,368.43,371.11,368.41,370.72,24605400
2021-09-07,370.82,371.89,369.67,371.24,23970200
2021-09-08,371.07,371.07,367.69,369.95,32949200
2021-09-09,370.17,371.28,368.43,368.68,29399000
2021-09-10,370.39,371.11,365.55,365.88,40249400
2021-09-13,368.21,368.64,363.58,365.63,48741800
2021-09-14,367.11,367.84,363.63,364.59,41826600
2021-09-15,365.04,367.65,362.75,367.3,34097900
2021-09-16,365.97,368.12,364.04,367.55,35193100
2021-09-17,367.07,367.12,362.16,363.2,60912300
2021-09-20,357.4,359.14,351.05,355.69,76203200
2021-09-21,357.52,358.72,355.0,356.13,41927500
2021-09-22,357.04,360.91,355.94,359.46,46972900
2021-09-23,360.61,363.8,359.97,362.77,44652000
2021-09-24,360.51,363.53,360.14,363.11,36056800
2021-09-27,360.07,361.09,357.67,360.21,43338100
2021-09-28,355.66,360.17,349.52,350.02,97701600
2021-09-29,351.29,353.43,348.83,349.45,58076600
2021-09-30,351.09,352.75,347.33,348.16,61384600
2021-10-01,348.79,351.36,344.68,350.32,56375500
2021-10-04,348.71,349.04,340.73,342.97,76766000
2021-10-05,344.03,349.85,343.81,347.6,47232900
2021-10-06,344.39,350.1,343.49,349.83,56806500
2021-10-07,352.87,355.68,352.34,353.04,39411200
2021-10-08,354.12,354.35,350.74,351.28,41822300
2021-10-11,349.74,353.26,348.49,348.58,34847200
2021-10-12,350.03,350.47,346.72,347.37,43905100
2021-10-13,349.67,350.82,347.65,350.15,40120800
2021-10-14,353.74,356.81,353.08,356.6,43433900
2021-10-15,357.81,358.96,356.78,358.84,40419900
2021-10-18,357.55,362.67,356.95,362.45,34513500
2021-10-19,363.52,365.24,362.5,365.19,29091000
2021-10-20,365.65,366.26,363.24,364.72,31390300
2021-10-21,363.92,367.14,363.62,366.95,25469300
2021-10-22,365.69,366.65,362.2,363.86,36275800
